longitude,latitude,depth,vs
-120.2,42.6,16,3.8549
-120.2,42.6,17,3.8442
-120.2,42.6,18,3.8157
-120.2,42.6,19,3.7702
-120.2,42.6,20,3.7137
-120.2,42.6,21,3.6558
-120.2,42.6,22,3.5988
-120.2,42.6,23,3.5462
-120.2,42.6,24,3.5026
-120.2,42.6,25,3.4701
-120.2,42.6,26,3.4473
-120.2,42.6,27,3.4328
-120.2,42.6,28,3.4276
-120.2,42.6,29,3.4328
-120.2,42.6,30,3.4521
-120.2,42.6,31,3.4873
-120.2,42.6,32,3.5405
-120.2,42.6,33,3.6098
-120.2,42.6,34,3.6909
-120.2,42.6,35,3.7766
-120.2,42.6,36,3.8622
-120.2,42.6,37,3.9441
-120.2,42.6,38,4.0204
-120.2,42.6,39,4.0952
-120.2,42.6,40,4.1685
-120.2,42.8,-1,1.5414
-120.2,42.8,0,1.6159
-120.2,42.8,1,1.9815
-120.2,42.8,2,2.5042
-120.2,42.8,3,2.9528
-120.2,42.8,4,3.2546
-120.2,42.8,5,3.4444
-120.2,42.8,6,3.5671
-120.2,42.8,7,3.6544
-120.2,42.8,8,3.7103
-120.2,42.8,9,3.7622
-120.2,42.8,10,3.8279
-120.2,42.8,11,3.8867
-120.2,42.8,12,3.9354
-120.2,42.8,13,3.9676
-120.2,42.8,14,3.9687
-120.2,42.8,15,3.9504
-120.2,42.8,16,3.9388
-120.2,42.8,17,3.9282
-120.2,42.8,18,3.9009
-120.2,42.8,19,3.8593
-120.2,42.8,20,3.802
-120.2,42.8,21,3.7335
-120.2,42.8,22,3.6611
-120.2,42.8,23,3.5889
-120.2,42.8,24,3.5203
-120.2,42.8,25,3.4592
-120.2,42.8,26,3.4085
-120.2,42.8,27,3.3689
-120.2,42.8,28,3.3415
-120.2,42.8,29,3.3318
-120.2,42.8,30,3.3423
-120.2,42.8,31,3.3752
-120.2,42.8,32,3.4314
-120.2,42.8,33,3.5085
-120.2,42.8,34,3.6028
-120.2,42.8,35,3.7072
-120.2,42.8,36,3.8157
-120.2,42.8,37,3.9228
-120.2,42.8,38,4.0246
-120.2,42.8,39,4.1203
-120.2,42.8,40,4.2108
-120.2,43.0,-1,1.377
-120.2,43.0,0,1.6232
-120.2,43.0,1,2.14
-120.2,43.0,2,2.6891
-120.2,43.0,3,3.119
-120.2,43.0,4,3.4046
-120.2,43.0,5,3.5864
-120.2,43.0,6,3.7215
-120.2,43.0,7,3.8277
-120.2,43.0,8,3.8888
-120.2,43.0,9,3.9071
-120.2,43.0,10,3.903
-120.2,43.0,11,3.8846
-120.2,43.0,12,3.8576
-120.2,43.0,13,3.8299
-120.2,43.0,14,3.8079
-120.2,43.0,15,3.7889
-120.2,43.0,16,3.7662
-120.2,43.0,17,3.7365
-120.2,43.0,18,3.7014
-120.2,43.0,19,3.6664
-120.2,43.0,20,3.6189
-120.2,43.0,21,3.5649
-120.2,43.0,22,3.5135
-120.2,43.0,23,3.4659
-120.2,43.0,24,3.4231
-120.2,43.0,25,3.3878
-120.2,43.0,26,3.3625
-120.2,43.0,27,3.3534
-120.2,43.0,28,3.3652
-120.2,43.0,29,3.4018
-120.2,43.0,30,3.4651
