longitude,latitude,depth,vs
-120.2,42.6,55,4.9131
-120.2,42.6,56,4.8995
-120.2,42.6,57,4.8764
-120.2,42.6,58,4.8426
-120.2,42.6,59,4.7936
-120.2,42.6,60,4.7236
-120.2,42.6,61,4.6356
-120.2,42.6,62,4.5436
-120.2,42.6,63,4.4551
-120.2,42.6,64,4.3659
-120.2,42.6,65,4.2738
-120.2,42.6,66,4.1865
-120.2,42.6,67,4.1111
-120.2,42.6,68,4.048
-120.2,42.6,69,3.9946
-120.2,42.6,70,3.9505
-120.2,42.6,71,3.915
-120.2,42.6,72,3.8873
-120.2,42.6,73,3.8638
-120.2,42.6,74,3.8426
-120.2,42.6,75,3.8237
-120.2,42.6,76,3.8047
-120.2,42.6,77,3.7883
-120.2,42.6,78,3.7765
-120.2,42.6,79,3.7679
-120.2,42.6,80,3.761
-120.2,42.8,41,4.2982
-120.2,42.8,42,4.3825
-120.2,42.8,43,4.4684
-120.2,42.8,44,4.556
-120.2,42.8,45,4.6382
-120.2,42.8,46,4.7134
-120.2,42.8,47,4.783
-120.2,42.8,48,4.8433
-120.2,42.8,49,4.8918
-120.2,42.8,50,4.9304
-120.2,42.8,51,4.9587
-120.2,42.8,52,4.9767
-120.2,42.8,53,4.9851
-120.2,42.8,54,4.9841
-120.2,42.8,55,4.9749
-120.2,42.8,56,4.9596
-120.2,42.8,57,4.9375
-120.2,42.8,58,4.9062
-120.2,42.8,59,4.8654
-120.2,42.8,60,4.813
-120.2,42.8,61,4.7443
-120.2,42.8,62,4.6592
-120.2,42.8,63,4.5671
-120.2,42.8,64,4.4829
-120.2,42.8,65,4.4054
-120.2,42.8,66,4.3277
-120.2,42.8,67,4.2517
-120.2,42.8,68,4.1828
-120.2,42.8,69,4.1237
-120.2,42.8,70,4.0688
-120.2,42.8,71,4.0163
-120.2,42.8,72,3.9672
-120.2,42.8,73,3.922
-120.2,42.8,74,3.8808
-120.2,42.8,75,3.843
-120.2,42.8,76,3.8091
-120.2,42.8,77,3.7785
-120.2,42.8,78,3.7513
-120.2,42.8,79,3.7313
-120.2,42.8,80,3.7177
-120.2,43.0,41,4.5325
-120.2,43.0,42,4.5752
-120.2,43.0,43,4.6108
-120.2,43.0,44,4.6449
-120.2,43.0,45,4.6712
-120.2,43.0,46,4.689
-120.2,43.0,47,4.7053
-120.2,43.0,48,4.7167
-120.2,43.0,49,4.7221
-120.2,43.0,50,4.722
-120.2,43.0,51,4.7151
-120.2,43.0,52,4.7008
-120.2,43.0,53,4.6781
-120.2,43.0,54,4.6472
-120.2,43.0,55,4.6108
-120.2,43.0,56,4.572
-120.2,43.0,57,4.5316
-120.2,43.0,58,4.4902
-120.2,43.0,59,4.4495
-120.2,43.0,60,4.407
-120.2,43.0,61,4.3553
-120.2,43.0,62,4.2982
-120.2,43.0,63,4.2557
-120.2,43.0,64,4.2313
-120.2,43.0,65,4.2084
-120.2,43.0,66,4.1794
-120.2,43.0,67,4.1474
-120.2,43.0,68,4.1155
-120.2,43.0,69,4.0813
-120.2,43.0,70,4.0437
-120.2,43.0,71,4.0055
-120.2,43.0,72,3.9692
-120.2,43.0,73,3.9371
-120.2,43.0,74,3.9113
-120.2,43.0,75,3.892
-120.2,43.0,76,3.8773
-120.2,43.0,77,3.865
-120.2,43.0,78,3.8567
-120.2,43.0,79,3.8537
-120.2,43.0,80,3.8535
-120.2,43.2,41,4.5334
-120.2,43.2,42,4.5368
-120.2,43.2,43,4.535
-120.2,43.2,44,4.5265
-120.2,43.2,45,4.5127
-120.2,43.2,46,4.4904
-120.2,43.2,47,4.4613
-120.2,43.2,48,4.4368
-120.2,43.2,49,4.4173
-120.2,43.2,50,4.3991
-120.2,43.2,51,4.3801
-120.2,43.2,52,4.3604
-120.2,43.2,53,4.3391
-120.2,43.2,54,4.3159
-120.2,43.2,55,4.2904
-120.2,43.2,56,4.263
-120.2,43.2,57,4.234
-120.2,43.2,58,4.2035
-120.2,43.2,59,4.1713
-120.2,43.2,60,4.1379
-120.2,43.2,61,4.1049
-120.2,43.2,62,4.0726
-120.2,43.2,63,4.0465
-120.2,43.2,64,4.0309
-120.2,43.2,65,4.0131
-120.2,43.2,66,3.9785
-120.2,43.2,67,3.9329
-120.2,43.2,68,3.8824
-120.2,43.2,69,3.8333
-120.2,43.2,70,3.7884
-120.2,43.2,71,3.7471
-120.2,43.2,72,3.7099
-120.2,43.2,73,3.6797
-120.2,43.2,74,3.6575
-120.2,43.2,75,3.6432
-120.2,43.2,76,3.6326
-120.2,43.2,77,3.6235
-120.2,43.2,78,3.6149
-120.2,43.2,79,3.6077
-120.2,43.2,80,3.6021
-120.2,43.4,41,4.5055
-120.2,43.4,42,4.5
-120.2,43.4,43,4.489
-120.2,43.4,44,4.4726
-120.2,43.4,45,4.4499
-120.2,43.4,46,4.4165
-120.2,43.4,47,4.3773
-120.2,43.4,48,4.3411
-120.2,43.4,49,4.3076
-120.2,43.4,50,4.2764
-120.2,43.4,51,4.2469
-120.2,43.4,52,4.2196
-120.2,43.4,53,4.1922
-120.2,43.4,54,4.1634
-120.2,43.4,55,4.1342
-120.2,43.4,56,4.1046
-120.2,43.4,57,4.0757
-120.2,43.4,58,4.0453
-120.2,43.4,59,4.0132
-120.2,43.4,60,3.9786
-120.2,43.4,61,3.9409
-120.2,43.4,62,3.9021
-120.2,43.4,63,3.8759
-120.2,43.4,64,3.862
-120.2,43.4,65,3.8398
-120.2,43.4,66,3.8065
-120.2,43.4,67,3.7736
-120.2,43.4,68,3.7471
-120.2,43.4,69,3.7255
-120.2,43.4,70,3.7072
-120.2,43.4,71,3.699
-120.2,43.4,72,3.7016
-120.2,43.4,73,3.7134
-120.2,43.4,74,3.7331
-120.2,43.4,75,3.7558
-120.2,43.4,76,3.7784
-120.2,43.4,77,3.8004
-120.2,43.4,78,3.8195
-120.2,43.4,79,3.8361
-120.2,43.4,80,3.8474
-120.2,43.6,41,4.4547
-120.2,43.6,42,4.4361
-120.2,43.6,43,4.4116
-120.2,43.6,44,4.3835
-120.2,43.6,45,4.353
-120.2,43.6,46,4.3151
-120.2,43.6,47,4.2756
-120.2,43.6,48,4.2411
-120.2,43.6,49,4.2109
-120.2,43.6,50,4.1853
-120.2,43.6,51,4.1635
-120.2,43.6,52,4.1425
-120.2,43.6,53,4.1193
-120.2,43.6,54,4.094
-120.2,43.6,55,4.068
-120.2,43.6,56,4.043
-120.2,43.6,57,4.019
-120.2,43.6,58,3.996
-120.2,43.6,59,3.9732
-120.2,43.6,60,3.9496
-120.2,43.6,61,3.9238
-120.2,43.6,62,3.9065
-120.2,43.6,63,3.9078
-120.2,43.6,64,3.9142
-120.2,43.6,65,3.9175
-120.2,43.6,66,3.9217
-120.2,43.6,67,3.9285
-120.2,43.6,68,3.9348
-120.2,43.6,69,3.9384
-120.2,43.6,70,3.9439
-120.2,43.6,71,3.952
-120.2,43.6,72,3.9613
-120.2,43.6,73,3.9696
-120.2,43.6,74,3.9741
-120.2,43.6,75,3.9732
-120.2,43.6,76,3.9699
-120.2,43.6,77,3.9657
-120.2,43.6,78,3.9628
-120.2,43.6,79,3.9621
-120.2,43.6,80,3.9608
-120.2,43.8,41,4.3921
-120.2,43.8,42,4.3636
-120.2,43.8,43,4.3291
-120.2,43.8,44,4.292
-120.2,43.8,45,4.2543
-120.2,43.8,46,4.2118
-120.2,43.8,47,4.1725
-120.2,43.8,48,4.1412
-120.2,43.8,49,4.1191
-120.2,43.8,50,4.1047
-120.2,43.8,51,4.096
-120.2,43.8,52,4.0897
-120.2,43.8,53,4.0837
-120.2,43.8,54,4.077
-120.2,43.8,55,4.0701
-120.2,43.8,56,4.0632
-120.2,43.8,57,4.0549
-120.2,43.8,58,4.0443
-120.2,43.8,59,4.0308
-120.2,43.8,60,4.0142
